Date,Symbol,Crypto,Open,High,Low,Close,Volume,Tradecount
31-07-2022,AAVE,Aave,95.30,109.60,93.70,97.60,46960959.61,132917
31-07-2022,ADA,Cardano,0.53,0.54,0.51,0.52,92491106.77,199465
31-07-2022,BTC,Bitcoin,23644.64,24194.82,23227.31,23293.32,3028386330.64,4463721
31-07-2022,DOGE,Dogecoin,0.07,0.07,0.07,0.07,55406419.32,150464
31-07-2022,DOT,Polkadot,8.22,9.21,8.08,8.62,108919345.24,174959
31-07-2022,ETH,Ethereum,1697.00,1754.69,1666.00,1678.12,1186613538.12,886708
31-07-2022,FIL,Filecoin,8.04,10.72,7.92,9.77,365063533.62,557031
31-07-2022,LINK,ChainLink,7.82,8.09,7.58,7.65,48549080.23,132777
31-07-2022,MATIC,Polygon,0.93,1.02,0.91,0.93,133495719.11,362912
31-07-2022,SHIB,Shiba Inu Coin,0.00,0.00,0.00,0.00,61478760.12,130855
31-07-2022,SOL,Solana,43.84,45.21,42.22,42.35,143781304.35,264416
31-07-2022,TRX,Tron,0.07,0.07,0.07,0.07,27779685.51,87259
31-07-2022,UNI,Uniswap,8.78,9.15,8.29,8.32,33039835.14,87315
31-07-2022,VET,VeChain,0.03,0.03,0.03,0.03,20682424.07,80271
31-07-2022,XLM,Stellar Lumens,0.12,0.12,0.12,0.12,7459275.68,33456
31-07-2022,XMR,Monero,156.00,159.80,153.70,154.80,8016789.41,25606
31-07-2022,XRP,Ripple XRP,0.39,0.40,0.38,0.38,90300223.10,174085
30-07-2022,AAVE,Aave,95.60,100.90,93.50,95.20,19954297.56,64193
30-07-2022,ADA,Cardano,0.52,0.56,0.51,0.53,144247588.63,306837
30-07-2022,BTC,Bitcoin,23777.28,24668.00,23502.25,23643.51,3634601094.97,4801528
30-07-2022,DOGE,Dogecoin,0.07,0.07,0.07,0.07,93038892.44,252675
30-07-2022,DOT,Polkadot,8.18,8.85,8.15,8.21,93291762.63,148710
30-07-2022,ETH,Ethereum,1721.68,1744.85,1673.01,1697.00,1257726968.67,1028313
30-07-2022,FIL,Filecoin,5.97,8.89,5.95,8.03,287573141.11,496470
30-07-2022,LINK,ChainLink,7.88,8.21,7.67,7.82,66142845.41,181751
30-07-2022,MATIC,Polygon,0.94,0.98,0.91,0.93,100833072.78,275994
30-07-2022,SHIB,Shiba Inu Coin,0.00,0.00,0.00,0.00,111074987.13,233542
30-07-2022,SOL,Solana,41.92,46.65,41.41,43.84,237288804.57,403313
30-07-2022,TRX,Tron,0.07,0.07,0.07,0.07,33623740.37,108517
30-07-2022,UNI,Uniswap,9.09,9.17,8.51,8.78,33206623.01,87698
30-07-2022,VET,VeChain,0.03,0.03,0.03,0.03,22922275.79,81998
30-07-2022,XLM,Stellar Lumens,0.12,0.13,0.12,0.12,13981388.35,53074
30-07-2022,XMR,Monero,160.00,164.00,154.50,155.90,10665455.45,32607
30-07-2022,XRP,Ripple XRP,0.37,0.41,0.36,0.39,151212668.99,285884
29-07-2022,AAVE,Aave,100.50,102.30,93.70,95.50,24388092.50,76123
29-07-2022,ADA,Cardano,0.51,0.55,0.51,0.52,168837048.56,391235
29-07-2022,BTC,Bitcoin,23845.25,24442.66,23414.03,23773.75,4733780641.31,6221401
29-07-2022,DOGE,Dogecoin,0.07,0.07,0.07,0.07,70028114.06,208331
29-07-2022,DOT,Polkadot,7.86,8.43,7.76,8.19,94855765.77,161422
29-07-2022,ETH,Ethereum,1724.52,1765.99,1655.02,1721.68,2061258807.23,1439533
29-07-2022,FIL,Filecoin,5.92,6.23,5.77,5.97,42476548.82,76173
29-07-2022,LINK,ChainLink,7.22,8.12,7.11,7.88,98558590.01,273463
29-07-2022,MATIC,Polygon,0.93,0.99,0.90,0.94,174367921.47,464552
29-07-2022,SHIB,Shiba Inu Coin,0.00,0.00,0.00,0.00,73424207.49,164513
29-07-2022,SOL,Solana,42.92,44.42,41.13,41.91,210837990.90,385431
29-07-2022,TRX,Tron,0.07,0.07,0.07,0.07,52240598.73,152315
29-07-2022,UNI,Uniswap,9.28,9.41,8.61,9.08,49861541.92,111666
29-07-2022,VET,VeChain,0.03,0.03,0.03,0.03,20160259.91,83843
29-07-2022,XLM,Stellar Lumens,0.12,0.12,0.11,0.12,8986514.99,38801
29-07-2022,XMR,Monero,162.30,166.40,158.70,159.90,14072642.17,43154
29-07-2022,XRP,Ripple XRP,0.37,0.38,0.36,0.37,102455414.67,186833
28-07-2022,AAVE,Aave,94.70,103.60,89.60,100.50,43659712.89,118451
28-07-2022,ADA,Cardano,0.51,0.52,0.49,0.51,155541635.46,319326
28-07-2022,BTC,Bitcoin,22954.31,24199.72,22582.13,23842.93,5511388547.62,6500034
28-07-2022,DOGE,Dogecoin,0.07,0.07,0.07,0.07,64139627.46,173112
28-07-2022,DOT,Polkadot,7.69,8.07,7.46,7.86,93741122.61,144470
28-07-2022,ETH,Ethereum,1635.74,1784.79,1593.27,1724.52,2644280824.31,1719118
28-07-2022,FIL,Filecoin,5.66,6.06,5.55,5.93,33392017.78,64407
28-07-2022,LINK,ChainLink,6.86,7.30,6.68,7.22,47808997.46,158802
28-07-2022,MATIC,Polygon,0.90,0.98,0.84,0.93,214645558.56,543258
28-07-2022,SHIB,Shiba Inu Coin,0.00,0.00,0.00,0.00,90681137.88,184608
28-07-2022,SOL,Solana,40.23,44.15,39.03,42.91,276873228.50,450997
28-07-2022,TRX,Tron,0.07,0.07,0.07,0.07,44193425.04,136808
28-07-2022,UNI,Uniswap,8.04,9.83,7.95,9.28,87049758.81,211073
28-07-2022,VET,VeChain,0.03,0.03,0.02,0.03,20649836.44,81614
28-07-2022,XLM,Stellar Lumens,0.11,0.12,0.11,0.12,8803259.67,37726
28-07-2022,XMR,Monero,161.50,166.60,156.60,162.40,16930055.29,50947
28-07-2022,XRP,Ripple XRP,0.36,0.38,0.35,0.37,122379884.69,214156
27-07-2022,AAVE,Aave,81.20,95.70,79.00,94.70,24236856.21,75483
27-07-2022,ADA,Cardano,0.47,0.51,0.46,0.51,140072070.82,311114
27-07-2022,BTC,Bitcoin,21254.67,23112.63,21042.53,22952.45,4614909656.70,5475738
27-07-2022,DOGE,Dogecoin,0.06,0.07,0.06,0.07,46414228.11,120098
27-07-2022,DOT,Polkadot,6.78,7.71,6.65,7.68,59311017.54,98964
27-07-2022,ETH,Ethereum,1449.12,1644.44,1420.83,1635.74,2305847817.81,1547390
27-07-2022,FIL,Filecoin,5.32,5.66,5.22,5.66,18351627.08,38339
27-07-2022,LINK,ChainLink,6.34,6.87,6.19,6.86,35212894.56,127976
27-07-2022,MATIC,Polygon,0.78,0.90,0.76,0.90,165866260.97,455367
27-07-2022,SHIB,Shiba Inu Coin,0.00,0.00,0.00,0.00,68261585.06,149014
27-07-2022,SOL,Solana,36.26,40.55,35.68,40.23,223453249.40,388367
27-07-2022,TRX,Tron,0.07,0.07,0.07,0.07,42919310.16,136410
27-07-2022,UNI,Uniswap,6.66,8.20,6.50,8.03,43042428.87,115476
27-07-2022,VET,VeChain,0.02,0.03,0.02,0.03,14343842.13,55567
27-07-2022,XLM,Stellar Lumens,0.11,0.11,0.10,0.11,7452841.42,30108
27-07-2022,XMR,Monero,151.00,163.00,149.80,161.70,19509148.40,58786
27-07-2022,XRP,Ripple XRP,0.34,0.36,0.33,0.36,92730683.93,173274
26-07-2022,AAVE,Aave,81.40,82.80,76.50,81.10,12242342.50,39255
26-07-2022,ADA,Cardano,0.48,0.48,0.45,0.47,98785176.07,205216
